externalcode;identificationstate;state
11833512;;ACTIVE
11833734;;ACTIVE
11833819;FULL;ACTIVE
11834113;FULL;ACTIVE
11834229;;ACTIVE
11834267;;ACTIVE
11834533;;ACTIVE
11834663;;ACTIVE
11834816;FULL;ACTIVE
11834847;LIMITED;ACTIVE
11834939;NOTIDENTIFIED;ACTIVE
11835288;FULL;ACTIVE
11835592;NOTIDENTIFIED;ACTIVE
11835660;FULL;ACTIVE
11835684;NOTIDENTIFIED;ACTIVE
11835707;NOTIDENTIFIED;ACTIVE
11835752;FULL;ACTIVE
11835905;FULL;ACTIVE
11836278;;ACTIVE
11836810;;ACTIVE
11837121;;ACTIVE
11837282;FULL;ACTIVE
11837312;;ACTIVE
11837893;FULL;ACTIVE
11838531;LIMITED;ACTIVE
11838685;LIMITED;ACTIVE
11838883;FULL;ACTIVE
11838920;FULL;ACTIVE
11839194;;ACTIVE
11839309;;ACTIVE
11839408;;ACTIVE
11839606;;ACTIVE
11840084;;ACTIVE
11840114;FULL;ACTIVE
11840145;;ACTIVE
11840244;;ACTIVE
11840251;;ACTIVE
11840329;FULL;ACTIVE
11840541;FULL;ACTIVE
11840824;;ACTIVE
11841036;;ACTIVE
11841111;;ACTIVE
11841210;FULL;ACTIVE
11841234;FULL;ACTIVE
11841425;FULL;ACTIVE
11841456;FULL;ACTIVE
11841487;FULL;ACTIVE
11841685;FULL;ACTIVE
11841692;;ACTIVE
11841708;FULL;ACTIVE
11841906;FULL;ACTIVE
11841975;FULL;ACTIVE
11842224;LIMITED;ACTIVE
11842422;LIMITED;ACTIVE
11842804;;ACTIVE
11843252;FULL;ACTIVE
11843351;;ACTIVE
11843429;FULL;ACTIVE
11843832;NOTIDENTIFIED;ACTIVE
11844310;FULL;ACTIVE
11845188;;ACTIVE
11845218;;ACTIVE
11845454;;ACTIVE
11845706;;ACTIVE
11846369;;ACTIVE
11846703;;ACTIVE
11846819;;ACTIVE
11846925;FULL;ACTIVE
11847007;FULL;ACTIVE
11847076;FULL;ACTIVE
11847205;NOTIDENTIFIED;ACTIVE
11847274;;ACTIVE
11847625;;ACTIVE
11847861;FULL;ACTIVE
11847946;FULL;ACTIVE
11848332;FULL;ACTIVE
11848929;FULL;ACTIVE
11848981;FULL;ACTIVE
11849506;;ACTIVE
11849582;;ACTIVE
11849759;;ACTIVE
11850472;;ACTIVE
11850595;;ACTIVE
11851097;;ACTIVE
11851158;FULL;ACTIVE
11851349;FULL;ACTIVE
11851356;FULL;ACTIVE
11851752;;ACTIVE
11852049;;ACTIVE
11852063;;ACTIVE
11852094;;ACTIVE
11852117;FULL;ACTIVE
11852193;FULL;ACTIVE
11852216;;ACTIVE
11852254;;ACTIVE
11852513;FULL;ACTIVE
11852865;FULL;ACTIVE
11852933;;ACTIVE
11853787;;ACTIVE
11853879;;ACTIVE
11853978;;ACTIVE
11854043;;ACTIVE
11854050;;ACTIVE
11854067;;ACTIVE
11854081;;ACTIVE
11854135;;ACTIVE
11854173;;ACTIVE
11854241;NOTIDENTIFIED;ACTIVE
11854319;;ACTIVE
11854371;;ACTIVE
11854449;FULL;ACTIVE
11854739;;ACTIVE
11854982;;ACTIVE
11855484;FULL;ACTIVE
11855835;;ACTIVE
11855996;FULL;ACTIVE
11856023;;ACTIVE
11856191;;ACTIVE
11856580;;ACTIVE
11856634;FULL;ACTIVE
11857013;FULL;ACTIVE
11857167;;ACTIVE
11857242;;ACTIVE
11857280;;ACTIVE
11857310;FULL;ACTIVE
11857501;;ACTIVE
11857884;FULL;ACTIVE
11858188;;ACTIVE
11858324;FULL;ACTIVE
11858553;;ACTIVE
11858591;;ACTIVE
11859482;FULL;ACTIVE
11859697;NOTIDENTIFIED;ACTIVE
11859765;;ACTIVE
11859857;;ACTIVE
11859956;FULL;ACTIVE
11859987;;ACTIVE
11860044;;ACTIVE
11860112;FULL;ACTIVE
11860129;NOTIDENTIFIED;ACTIVE
11860143;;ACTIVE
11860211;FULL;ACTIVE
11860228;;ACTIVE
11860242;;ACTIVE
11860259;;ACTIVE
11860419;;ACTIVE
11860600;LIMITED;ACTIVE
11860891;FULL;ACTIVE
11861102;;ACTIVE
11861140;;ACTIVE
11861652;FULL;ACTIVE
11862123;;ACTIVE
11862291;;ACTIVE
11862390;;ACTIVE
11862451;;ACTIVE
11863243;;ACTIVE
11863298;;ACTIVE
11863960;FULL;ACTIVE
11864295;FULL;ACTIVE
11864608;;ACTIVE
11865339;NOTIDENTIFIED;ACTIVE
11865476;;ACTIVE
11865612;;ACTIVE
11865728;;ACTIVE
11865872;;ACTIVE
11865940;FULL;ACTIVE
11866046;;ACTIVE
11866169;;ACTIVE
11866336;;ACTIVE
11866473;;ACTIVE
11866480;;ACTIVE
11866589;NOTIDENTIFIED;ACTIVE
11866596;;ACTIVE
11866619;FULL;ACTIVE
11866657;FULL;ACTIVE
11866756;FULL;ACTIVE
11866824;LIMITED;ACTIVE
11866831;;ACTIVE
11866909;FULL;ACTIVE
11866978;FULL;ACTIVE
11867050;;ACTIVE
11867401;FULL;ACTIVE
11867760;;ACTIVE
11867777;NOTIDENTIFIED;ACTIVE
11867951;FULL;ACTIVE
11868019;;ACTIVE
11868187;;ACTIVE
11868316;;ACTIVE
11868477;;ACTIVE
11868552;FULL;ACTIVE
11868866;;ACTIVE
11868934;;ACTIVE
11869313;;ACTIVE
11870210;NOTIDENTIFIED;ACTIVE
11870227;FULL;ACTIVE
11870524;FULL;ACTIVE
11870630;FULL;ACTIVE
11870838;;ACTIVE
11871019;FULL;ACTIVE
11871682;FULL;ACTIVE
11871767;;ACTIVE
11871798;FULL;ACTIVE
11872290;LIMITED;ACTIVE
11872627;FULL;ACTIVE
11872757;FULL;ACTIVE
11873211;FULL;ACTIVE
11873716;;ACTIVE
11873730;FULL;ACTIVE
11873891;;ACTIVE
11874720;NOTIDENTIFIED;ACTIVE
11874744;;ACTIVE
11874775;FULL;ACTIVE
11875383;LIMITED;ACTIVE
11875741;;ACTIVE
11875888;;ACTIVE
11875932;FULL;ACTIVE
11875949;;ACTIVE
11876311;;ACTIVE
11876519;FULL;ACTIVE
11876663;NOTIDENTIFIED;ACTIVE
11876823;LIMITED;ACTIVE
11876830;FULL;ACTIVE
11877103;FULL;ACTIVE
11877226;;ACTIVE
11877493;;ACTIVE
11877516;LIMITED;ACTIVE
11877578;;ACTIVE
11877974;FULL;ACTIVE
11877981;FULL;ACTIVE
11878285;FULL;ACTIVE
11878698;;ACTIVE
11878919;LIMITED;ACTIVE
11878995;FULL;ACTIVE
11879237;LIMITED;ACTIVE
11879732;;ACTIVE
11879756;FULL;ACTIVE
11879954;;ACTIVE
11880073;;ACTIVE
11880455;;ACTIVE
11880615;NOTIDENTIFIED;ACTIVE
11880943;FULL;ACTIVE
11881056;;ACTIVE
11881117;;ACTIVE
11881469;;ACTIVE
11881506;;ACTIVE
11881841;;ACTIVE
11881889;FULL;ACTIVE
11882138;FULL;ACTIVE
11882510;NOTIDENTIFIED;ACTIVE
11882527;;ACTIVE
11882732;FULL;ACTIVE
11882817;;ACTIVE
11883043;FULL;ACTIVE
11883166;FULL;ACTIVE
11883814;;ACTIVE
11883852;;ACTIVE
11883982;FULL;ACTIVE
11884729;FULL;ACTIVE
11884897;FULL;ACTIVE
11885139;FULL;ACTIVE
11885764;FULL;ACTIVE
11886198;;ACTIVE
11886365;FULL;ACTIVE
11886648;LIMITED;ACTIVE
11887027;;ACTIVE
11887034;LIMITED;ACTIVE
11887096;;ACTIVE
11891758;;ACTIVE
11894780;FULL;ACTIVE
11894919;FULL;ACTIVE
11895763;;ACTIVE
11895879;;ACTIVE
11895930;;ACTIVE
11896050;FULL;ACTIVE
11896241;FULL;ACTIVE
11896555;FULL;ACTIVE
11897910;NOTIDENTIFIED;ACTIVE
11897996;;ACTIVE
11898061;;ACTIVE
11898160;FULL;ACTIVE
11898320;FULL;ACTIVE
11898344;FULL;ACTIVE
11898436;;ACTIVE
11898641;FULL;ACTIVE
11898696;FULL;ACTIVE
11898986;FULL;ACTIVE
11899853;;ACTIVE
11899891;FULL;ACTIVE
11901037;;ACTIVE
11901884;FULL;ACTIVE
11902232;;ACTIVE
11902300;NOTIDENTIFIED;ACTIVE
11902485;FULL;ACTIVE
